"","No.","Time","Source","Destination","Protocol","Length","Info"
"1199",1199,1634274263.42929,"172.17.0.2","172.17.0.9","UDP (NDN)",883,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server4/NAME/%0A/35=%00%00%01%7C%82V%3D%99/33=%00"
"1256",1256,1634274271.95065,"172.17.0.2","172.17.0.4","UDP (NDN)",683,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%0E/35=%00%00%01%7C%82Vb%CA/33=%00"
"1257",1257,1634274271.95077,"172.17.0.2","172.17.0.9","UDP (NDN)",683,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server1/NAME/%0E/35=%00%00%01%7C%82Vb%CA/33=%00"
"1289",1289,1634274275.66035,"172.17.0.2","172.17.0.9","UDP (NDN)",909,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server2/NAME/%0F/35=%00%00%01%7C%82VqH/33=%00"
"1293",1293,1634274275.66298,"172.17.0.2","172.17.0.4","UDP (NDN)",909,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server2/NAME/%0F/35=%00%00%01%7C%82VqH/33=%00"
"1352",1352,1634274285.36064,"172.17.0.2","172.17.0.3","UDP (NDN)",848,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server4/NAME/%0B/35=%00%00%01%7C%82V%97-/33=%00"
"1353",1353,1634274285.36085,"172.17.0.2","172.17.0.9","UDP (NDN)",848,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server4/NAME/%0B/35=%00%00%01%7C%82V%97-/33=%00"
"1390",1390,1634274289.054,"172.17.0.2","172.17.0.3","UDP (NDN)",973,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%10/35=%00%00%01%7C%82V%A5%9B/33=%00"
"1391",1391,1634274289.05411,"172.17.0.2","172.17.0.9","UDP (NDN)",973,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%10/35=%00%00%01%7C%82V%A5%9B/33=%00"
"1447",1447,1634274298.99648,"172.17.0.2","172.17.0.3","UDP (NDN)",937,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%11/35=%00%00%01%7C%82V%CCo/33=%00"
"1450",1450,1634274299.0002,"172.17.0.2","172.17.0.9","UDP (NDN)",937,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%11/35=%00%00%01%7C%82V%CCo/33=%00"
"1481",1481,1634274302.71039,"172.17.0.2","172.17.0.3","UDP (NDN)",884,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server4/NAME/%0C/35=%00%00%01%7C%82V%DA%F2/33=%00"
"1482",1482,1634274302.71048,"172.17.0.2","172.17.0.9","UDP (NDN)",884,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server4/NAME/%0C/35=%00%00%01%7C%82V%DA%F2/33=%00"
"1541",1541,1634274313.02032,"172.17.0.2","172.17.0.3","UDP (NDN)",901,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%12/35=%00%00%01%7C%82W%037/33=%00"
"1542",1542,1634274313.02041,"172.17.0.2","172.17.0.9","UDP (NDN)",901,"Data /localhop/ndn/nlsr/LSA/edu/usalp/%C1.Router/server3/NAME/%12/35=%00%00%01%7C%82W%037/33=%00"
